_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
651fe2054cb4fabb7daac2ac||120.99|95.47|128.99|80.15|605,11,0,4|time|60||32|60|0|186.89|false|false|english|none|normal|false|false|false||1696588285116
651fae2a4cb4fabb7d3be6d4||120.39|95.41|126.59|72.79|602,5,1,3|time|60|-1|20|60|0|143.83|false|false|english|none|normal|false|false|false||1696575018000
651ecbb94cb4fabb7d5a77d4||120.17|95.65|127.17|75.18|601,13,1,4|time|60|-1|7|60.02|0|34.38|false|false|english|none|normal|false|false|false||1696517049000
651ecb484cb4fabb7d5a7137||119.58|95.07|128.77|76.04|598,18,1,2|time|60|-1|10|60.01|0|91.69|false|false|english|none|normal|false|false|false||1696516936000
651eb5cd4cb4fabb7d2d9ac2||123.79|94.86|129.39|77.37|619,13,3,2|time|60|-1|13|60|0|141.44|false|false|english|none|normal|false|false|false||1696511437000
651eb4804cb4fabb7d2d8a59||122.98|96.35|129.58|78.42|615,11,1,1|time|60|-1|17|60.01|0|163.12|false|false|english|none|normal|false|false|false||1696511104000
651e9db24cb4fabb7df9a4b4||125.78|97.7|128.58|77.44|629,4,0,2|time|60|-1|4|60.01|0|31.6|false|false|english|none|normal|false|false|false||1696505266000
651e8fc34cb4fabb7ddc1945||122.59|96.35|129.19|80.81|613,9,0,0|time|60|-1|5|60|0|23.88|false|false|english|none|normal|false|false|false||1696501699000
651e72164cb4fabb7da0fdb0||126.79|97.44|130.59|78.81|634,4,0,1|time|60|-1|10|60|0|109.95|false|false|english|none|normal|false|false|false||1696494102000
651e524a4cb4fabb7d5e904f||121.59|96.15|126.39|79.01|608,5,1,2|time|60|-1|7|60.01|0|30.26|false|false|english|none|normal|false|false|false||1696485962000
651d33944cb4fabb7dff825e|true|130.17|96.77|133.36|77.66|651,6,0,0|time|60|-1|8|60.02|0|29.05|false|false|english|none|normal|false|false|false||1696412564000
651d33234cb4fabb7dff7eb5||121.59|95.73|128.79|76.99|608,8,1,3|time|60|-1|33|60|0|178.98|false|false|english|none|normal|false|false|false||1696412451000
651c17ac4cb4fabb7db00fe6||121.77|94.2|132.77|80.86|609,18,3,1|time|60|-1|3|60.01|0|12.8|false|false|english|none|normal|false|false|false||1696339884000
651c17404cb4fabb7da8c6d6||121.59|95.92|129.59|77.74|608,7,0,7|time|60|-1|24|60|0|106.44|false|false|english|none|normal|false|false|false||1696339776000
651b7ed64cb4fabb7d6bcf58||109.39|94.29|121.19|78.85|547,18,1,1|time|60|-1|11|60|0|59.96|false|false|english|none|normal|false|false|false||1696300758000
651b71c34cb4fabb7d4e6c5f||119.97|96.68|124.37|78.95|600,6,1,1|time|60|-1|7|60.02|0|73.5|false|false|english|none|normal|false|false|false||1696297411000
651af4ec4cb4fabb7d4c08c9||117.57|95.75|125.37|76.58|588,7,6,2|time|60|-1|16|60.01|0|146.71|false|false|english|none|normal|false|false|false||1696265452000
651a654836bd0a3b023c7a60||118.79|97.1|121.79|80.51|594,5,0,0|time|60|-1|3|60.01|0|23.37|false|false|english|none|normal|false|false|false||1696228680000
651a624a36bd0a3b02352282||109.77|93.77|121.57|71.02|549,11,1,7|time|60|-1|12|60.02|0|39.82|false|false|english|none|normal|false|false|false||1696227914000
651a61b736bd0a3b02351e12||112.98|94.94|116.38|74.98|565,5,1,2|time|60|-1|12|60.01|0|62.71|false|false|english|none|normal|false|false|false||1696227767000
651a1b6f36bd0a3b02a245ab||122.99|97.5|127.19|77.97|615,6,1,2|time|60|-1|20|60.01|0|179.39|false|false|english|none|normal|false|false|false||1696209775000
6519589036bd0a3b020e2a6c||119.98|96.71|126.17|81.35|600,9,2,1|time|60|-1|17|60.01|0|102.34|false|false|english|none|normal|false|false|false||1696159888000
6519517136bd0a3b02ff79dd||123.38|95.32|136.18|76.24|617,18,2,1|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1696158065000
6518f37c36bd0a3b023981e5||111.98|93.34|123.58|77.53|560,17,7,1|time|60|-1|8|60.01|0|114.34|false|false|english|none|normal|false|false|false||1696134012000
6518f2c036bd0a3b02397d50||112.99|94.61|120.99|76.81|565,16,2,2|time|60|-1|7|60|0|52.23|false|false|english|none|normal|false|false|false||1696133824000
6518637236bd0a3b020d5389||117.59|93.85|130.79|77.54|588,18,2,2|time|60|-1|10|60.01|0|86.66|false|false|english|none|normal|false|false|false||1696097138000
651862ce36bd0a3b020d4eb2||119.79|95.74|129.99|79.15|599,11,1,5|time|60|-1|48|60|0|285.87|false|false|english|none|normal|false|false|false||1696096974000
6518389336bd0a3b02b50d34||125.59|95.51|136.79|80.68|628,15,0,4|time|60|-1|7|60|0|94.85|false|false|english|none|normal|false|false|false||1696086163000
